Dia;Mês;Ano;Cepagri;IAC;Viracopos
1;1;1989;26.4;28.8;29
2;1;1989;27.4;29;31
3;1;1989;28.2;27.4;28
4;1;1989;24.0;23.6;25
5;1;1989;27.4;27.2;26
6;1;1989;27.2;26.4;29
7;1;1989;27.8;27.8;30
8;1;1989;28.2;27.4;29
9;1;1989;27.6;27.4;29
10;1;1989;26.4;25.8;26
11;1;1989;29.0;28;29
12;1;1989;26.8;26;27
13;1;1989;27.2;26.8;30
14;1;1989;29.8;29.4;32
15;1;1989;27.8;26.4;27
16;1;1989;27.8;28;29
17;1;1989;29.0;29;30
18;1;1989;29.6;28.8;28
19;1;1989;30.0;30;30
20;1;1989;30.8;29.8;31
21;1;1989;31.4;30.8;32
22;1;1989;30.0;28.8;30
23;1;1989;25.6;26;26
24;1;1989;32.0;31;32
25;1;1989;32.2;31.2;31
26;1;1989;32.2;31.8;31
27;1;1989;32.4;31.8;32
28;1;1989;31.4;30.4;32
29;1;1989;31.6;30.4;30
30;1;1989;32.8;32.4;33
31;1;1989;33.2;32.6;33
1;2;1989;33.6;32.6;35
2;2;1989;30.8;29.8;32
3;2;1989;28.4;28;27
4;2;1989;24.4;24.4;23
5;2;1989;29.6;28.8;28
6;2;1989;30.2;29;29
7;2;1989;28.8;28.8;31
8;2;1989;26.8;27.6;27
9;2;1989;20.8;21.6;22
10;2;1989;24.2;23.2;23
11;2;1989;27.4;27.8;27
12;2;1989;27.6;27.4;28
13;2;1989;28.8;28.4;28
14;2;1989;29.8;29;29
15;2;1989;26.6;26;25
16;2;1989;29.8;29.8;30
17;2;1989;29.2;28.4;28
18;2;1989;31.2;30.6;29
19;2;1989;32.2;32.4;34
20;2;1989;32.8;31.8;31
21;2;1989;32.4;31.6;33
22;2;1989;31.8;30.8;33
23;2;1989;29.8;29.4;29
24;2;1989;31.6;31.2;29
25;2;1989;27.2;26.2;26
26;2;1989;30.2;29;27
27;2;1989;33.8;32.6;33
28;2;1989;32.8;32;32
1;3;1989;31.2;29.8;29
2;3;1989;29.4;28.4;28
3;3;1989;30.6;29.8;31
4;3;1989;31.4;30;31
5;3;1989;30.4;29.6;30
6;3;1989;29.4;29.4;30
7;3;1989;30.2;29.4;29
8;3;1989;30.4;29.2;29
9;3;1989;30.2;29.2;29
10;3;1989;28.8;28.4;28
11;3;1989;29.8;29.4;27
12;3;1989;31.8;31.6;32
13;3;1989;24.8;24.2;23
14;3;1989;26.4;25.6;25
15;3;1989;25.2;25.2;26
16;3;1989;29.2;28.4;28
17;3;1989;30.6;29.8;28
18;3;1989;30.2;31.4;31
19;3;1989;32.8;31.8;32
20;3;1989;29.8;30.2;29
21;3;1989;29.2;28.8;28
22;3;1989;30.4;29.2;29
23;3;1989;31.4;30.8;31
24;3;1989;31.6;31.4;30
25;3;1989;31.2;31.2;31
26;3;1989;29.8;29.2;29
27;3;1989;29.0;28.8;29
28;3;1989;30.0;30;31
29;3;1989;30.8;30;31
30;3;1989;30.4;29.8;30
31;3;1989;31.8;30.8;30
1;4;1989;30.6;30;30
2;4;1989;28.8;28.2;27
3;4;1989;29.2;29;29
4;4;1989;30.6;30;31
5;4;1989;31.4;30.8;31
6;4;1989;32.4;31.4;31
7;4;1989;31.4;30.4;30
8;4;1989;31.6;31.2;31
9;4;1989;31.4;31;31
10;4;1989;32.4;31.6;31
11;4;1989;31.6;30.6;29
12;4;1989;28.2;27.6;27
13;4;1989;30.0;29.6;29
14;4;1989;28.0;28;29
15;4;1989;29.0;28.8;29
16;4;1989;29.8;29.4;30
