Dia,Mês,Ano,Cepagri,IAC
1,1,1989,18,19.6
2,1,1989,18.2,20
3,1,1989,17.8,19.8
4,1,1989,19.6,19.2
5,1,1989,19.6,19.2
6,1,1989,19.6,19.4
7,1,1989,19.8,19.6
8,1,1989,19.6,19
9,1,1989,19.2,18.6
10,1,1989,18.8,19
11,1,1989,20,19.4
12,1,1989,19.8,19.2
13,1,1989,20.6,20.4
14,1,1989,20.4,20.8
15,1,1989,19.8,19
16,1,1989,20,19
17,1,1989,20.4,19.2
18,1,1989,19.8,19.2
19,1,1989,18.8,18.6
20,1,1989,19.2,18
21,1,1989,19.4,18.6
22,1,1989,20.4,19.6
23,1,1989,21.2,19.4
24,1,1989,19.6,18.8
25,1,1989,19.4,19
26,1,1989,20.4,19.6
27,1,1989,20.6,18.6
28,1,1989,17.8,16.8
29,1,1989,21.8,21.4
30,1,1989,22,20.4
31,1,1989,20.2,18.8
1,2,1989,21,20.6
2,2,1989,21.2,20.8
3,2,1989,18.4,18
4,2,1989,19.6,19
5,2,1989,20,19.4
6,2,1989,19.8,18.2
7,2,1989,19.4,18.6
8,2,1989,21,19.8
9,2,1989,18.8,18.4
10,2,1989,19,18.2
11,2,1989,19.8,19
12,2,1989,20.2,19.8
13,2,1989,20.8,20.2
14,2,1989,20.4,19.6
15,2,1989,20.6,20
16,2,1989,19.6,18.6
17,2,1989,20.4,19.6
18,2,1989,20.8,20
19,2,1989,21.8,21
20,2,1989,20.8,19.6
21,2,1989,20.2,20
22,2,1989,20.6,20
23,2,1989,19.8,19.6
24,2,1989,21,19.6
25,2,1989,20.4,19.6
26,2,1989,19.6,18.6
27,2,1989,19.8,18.8
28,2,1989,21.2,21
1,3,1989,20.2,19.6
2,3,1989,19.8,18.8
3,3,1989,19.6,19
4,3,1989,20.2,19
5,3,1989,19.8,18.6
6,3,1989,20,18.6
7,3,1989,18.8,18.6
8,3,1989,19.8,20
9,3,1989,20,19.4
10,3,1989,18.4,18.8
11,3,1989,16.6,14.4
12,3,1989,18,17.8
13,3,1989,20.4,20
14,3,1989,19.2,19
15,3,1989,19.4,19
16,3,1989,20,19.8
17,3,1989,19.8,19
18,3,1989,20.2,19.4
19,3,1989,22.6,21.2
20,3,1989,21.4,20
21,3,1989,21.2,20.4
22,3,1989,20.6,20.4
23,3,1989,19.8,19.6
24,3,1989,19.6,19.2
25,3,1989,20.4,19.6
26,3,1989,19.8,18.4
27,3,1989,19.2,18
28,3,1989,20.4,20.2
29,3,1989,19.2,18.2
30,3,1989,19.6,19.2
31,3,1989,18.8,18.6
1,4,1989,19.6,19.2
2,4,1989,19.8,19
3,4,1989,19.6,18.4
4,4,1989,18,18
5,4,1989,18.6,18.8
6,4,1989,18.8,18.6
7,4,1989,19.2,19.4
8,4,1989,19.8,19.4
9,4,1989,19.6,19.4
10,4,1989,19,18.6
11,4,1989,18.8,19
12,4,1989,19.4,19.4
13,4,1989,19.2,19.8
14,4,1989,18.8,18.6
15,4,1989,17.6,17
16,4,1989,18.4,18
17,4,1989,18.6,18
18,4,1989,17.8,18.4
19,4,1989,19.8,19.8
20,4,1989,14.8,16
21,4,1989,14.2,14
22,4,1989,14.2,13.8
23,4,1989,15.2,14.8
24,4,1989,17.8,16
25,4,1989,15.4,15
26,4,1989,14.6,14.8
27,4,1989,15.6,14.6
28,4,1989,17.8,17.2
29,4,1989,17.6,18.4
30,4,1989,17.4,16.6
1,5,1989,18,18.2
2,5,1989,19.8,19
3,5,1989,20,19.8
4,5,1989,20.8,20.4
5,5,1989,19.2,18.8
6,5,1989,14.8,20
7,5,1989,12.8,12.2
8,5,1989,13.8,13.6
9,5,1989,12.4,12.8
10,5,1989,13.2,13
11,5,1989,13.4,13
12,5,1989,13,13.6
13,5,1989,15.6,15.4
14,5,1989,14.8,13.2
15,5,1989,14.4,14
16,5,1989,14.6,14.8
17,5,1989,11.8,12.2
18,5,1989,14.2,14.2
19,5,1989,14.8,15.2
20,5,1989,14.4,13.6
21,5,1989,14.8,14.2
22,5,1989,15.2,14.4
23,5,1989,15.6,14.2
24,5,1989,11.8,12
25,5,1989,12.8,13
26,5,1989,9,12.4
27,5,1989,7.4,5.2
28,5,1989,11.8,10
29,5,1989,12.8,11.8
30,5,1989,12,12.4
31,5,1989,13.8,13
1,6,1989,14.6,14
2,6,1989,15.4,14.6
3,6,1989,14.8,14.2
4,6,1989,15.2,14.6
5,6,1989,15.6,15.4
6,6,1989,14.2,15.2
7,6,1989,15.4,15.2
8,6,1989,17.2,17
9,6,1989,15.2,15
10,6,1989,15.8,16
11,6,1989,14.2,14
12,6,1989,13.8,12.6
13,6,1989,12.6,12.4
14,6,1989,11,11
15,6,1989,10.6,10.4
16,6,1989,11,10.2
17,6,1989,11.6,11.8
18,6,1989,13.4,12.8
19,6,1989,14.4,13.6
20,6,1989,10.6,9.4
21,6,1989,12.6,13
22,6,1989,14.4,14.2
23,6,1989,11.8,13.8
24,6,1989,14.2,14.4
25,6,1989,13.2,12.6
26,6,1989,9.8,10.4
27,6,1989,8.8,9
28,6,1989,11.6,11.6
29,6,1989,12.4,12.2
30,6,1989,8.4,10.4
1,7,1989,9.8,11.4
2,7,1989,12.8,13.6
3,7,1989,15.6,15
4,7,1989,14.2,13.8
5,7,1989,16,17
6,7,1989,11.4,10.8
7,7,1989,9.6,9.4
8,7,1989,10.2,10.2
9,7,1989,9.8,8.2
10,7,1989,10,9
11,7,1989,9.2,9
12,7,1989,9.2,9.6
13,7,1989,6.6,8.4
14,7,1989,8.4,9.8
15,7,1989,10.4,10.4
16,7,1989,10.2,8.4
17,7,1989,9.6,9.4
18,7,1989,7.8,9.6
19,7,1989,7.6,9.2
20,7,1989,9.2,10
21,7,1989,7.8,9
22,7,1989,6.8,8.4
23,7,1989,7.2,9.8
24,7,1989,10.6,10.8
25,7,1989,14.2,16
26,7,1989,15.2,14.8
27,7,1989,15.4,15.6
28,7,1989,15.6,15.4
29,7,1989,14.2,13.6
30,7,1989,15.4,16.2
31,7,1989,15.2,14.4
1,8,1989,10.6,10.8
2,8,1989,12,11.6
3,8,1989,11.2,10.8
4,8,1989,10,10.8
5,8,1989,12,11.8
6,8,1989,12.2,13.2
7,8,1989,10.8,9.8
8,8,1989,11.4,11
9,8,1989,12.8,13.6
10,8,1989,15,14.4
11,8,1989,7.8,7.6
12,8,1989,12.4,12
13,8,1989,11.8,11
14,8,1989,11.4,10.4
15,8,1989,10.4,10.2
16,8,1989,13.2,12.6
17,8,1989,12,13.6
18,8,1989,15.8,15.2
19,8,1989,16.8,16.2
20,8,1989,14.6,16
21,8,1989,17.6,14.4
22,8,1989,17.6,17.2
23,8,1989,15.8,16.2
24,8,1989,14.8,15.6
25,8,1989,17.2,16
26,8,1989,14.6,13.6
27,8,1989,15.6,15.4
28,8,1989,17.4,16.4
29,8,1989,13.2,12.6
30,8,1989,15,13.6
31,8,1989,16.6,16.8
1,9,1989,18.2,18
2,9,1989,11.2,13.8
3,9,1989,12.8,11.8
4,9,1989,13.2,10.2
5,9,1989,13.8,14.2
6,9,1989,12.2,13.2
7,9,1989,17.4,16.6
8,9,1989,17.8,16.4
9,9,1989,18.4,18
10,9,1989,18.6,17
11,9,1989,18,17
12,9,1989,20.8,20.6
13,9,1989,19,18.6
14,9,1989,18.6,18.4
15,9,1989,17.8,17
16,9,1989,10.8,11.6
17,9,1989,9.4,10
18,9,1989,12.2,11
19,9,1989,11.6,11.6
20,9,1989,14.6,14
21,9,1989,14.4,14
22,9,1989,16.8,16
23,9,1989,16.6,17.4
24,9,1989,20.6,19
25,9,1989,19.2,18
26,9,1989,12.4,12
27,9,1989,14,13.4
28,9,1989,15.4,15
29,9,1989,15.8,15.4
30,9,1989,16.2,15.8
1,10,1989,16.8,14.6
2,10,1989,15.2,14
3,10,1989,15.6,16.4
4,10,1989,16.6,16.2
5,10,1989,13.8,13.4
6,10,1989,13.2,12.8
7,10,1989,13.8,14.2
8,10,1989,15.6,15
9,10,1989,16.8,16
10,10,1989,16.6,15.6
11,10,1989,18,17.8
12,10,1989,18.4,18
13,10,1989,13.2,12
14,10,1989,12.6,10.8
15,10,1989,12.8,11.8
16,10,1989,14.4,13
17,10,1989,13.4,13.4
18,10,1989,13.4,14
19,10,1989,11.6,12.4
20,10,1989,13.6,13.4
21,10,1989,16.4,15.8
22,10,1989,16,15.2
23,10,1989,15.2,14.6
24,10,1989,15.2,14.8
25,10,1989,16.2,16
26,10,1989,21.2,20.4
27,10,1989,17.8,17.4
28,10,1989,14.8,14.4
29,10,1989,14.6,14
30,10,1989,16.6,16
31,10,1989,18.2,19
1,11,1989,14.6,14.2
2,11,1989,11.8,11
3,11,1989,13.4,12.4
4,11,1989,17.6,16.2
5,11,1989,17.2,17.2
6,11,1989,14.6,14
7,11,1989,15.2,15
8,11,1989,17.2,16.8
9,11,1989,19,18.6
10,11,1989,19,18.6
11,11,1989,19.4,18.8
12,11,1989,17.6,17.1
13,11,1989,18.2,17
14,11,1989,12.6,11.4
15,11,1989,15.8,15.2
16,11,1989,16.6,15.8
17,11,1989,19.2,18.4
18,11,1989,19.6,18.8
19,11,1989,21.6,20.4
20,11,1989,20.8,19.8
21,11,1989,19.8,20
22,11,1989,20,18.8
23,11,1989,19.8,19.2
24,11,1989,20.4,20.2
25,11,1989,18.6,18
26,11,1989,14,13.6
27,11,1989,16.6,16.4
28,11,1989,17.4,17.6
29,11,1989,20.2,19.8
30,11,1989,18.2,18
1,12,1989,18.4,18
2,12,1989,18.8,17.4
3,12,1989,17.6,16.2
4,12,1989,19.4,18.8
5,12,1989,17.6,17
6,12,1989,19.2,19.2
7,12,1989,19.2,18.8
8,12,1989,18.8,18.2
9,12,1989,18.8,18
10,12,1989,18.6,21
11,12,1989,22,20.8
12,12,1989,19.2,21.2
13,12,1989,21.6,20.2
14,12,1989,20.8,20.2
15,12,1989,17.8,21.2
16,12,1989,16.4,19
17,12,1989,18.2,20.8
18,12,1989,15.6,17.8
19,12,1989,14.6,19.6
20,12,1989,16.8,16.2
21,12,1989,13.2,14.4
22,12,1989,15.8,16
23,12,1989,14.8,21
24,12,1989,15.4,16.6
25,12,1989,14.8,18
26,12,1989,16.2,19.4
27,12,1989,15.8,18.4
28,12,1989,16.6,19
29,12,1989,16.4,19
30,12,1989,15.4,18.4
31,12,1989,16.6,20
1,1,1990,16.8,19.4
2,1,1990,16,18.6
3,1,1990,19.6,19
4,1,1990,18.8,18.4
5,1,1990,19,19
6,1,1990,20.2,19.6
7,1,1990,18.8,18.8
8,1,1990,19.9,19.8
9,1,1990,21.4,21.2
10,1,1990,20.4,20
11,1,1990,20.2,20
12,1,1990,20.8,20.2
13,1,1990,19.8,19.4
14,1,1990,21.4,21.4
15,1,1990,22.4,21.8
16,1,1990,19.8,19.2
17,1,1990,19.2,20.2
18,1,1990,22.4,22
19,1,1990,22.6,22.4
20,1,1990,21.6,21
21,1,1990,20,21.4
22,1,1990,19.6,19.4
23,1,1990,19.6,19
24,1,1990,20,19.6
25,1,1990,21.2,21
26,1,1990,21.8,21.4
27,1,1990,22.4,21.8
28,1,1990,20.2,19.8
29,1,1990,20.6,20.4
30,1,1990,19.8,21
31,1,1990,20.6,20.6
1,2,1990,21.4,21.4
2,2,1990,20.4,20.2
3,2,1990,21.6,20
4,2,1990,21.4,19.2
5,2,1990,22,20.2
6,2,1990,19.8,19.8
7,2,1990,17.2,17.2
8,2,1990,21.6,21.4
9,2,1990,20,19.8
10,2,1990,20.6,20.4
11,2,1990,21.4,20.4
12,2,1990,21.6,21
13,2,1990,21,20.8
14,2,1990,21.2,20.8
15,2,1990,21.6,21
16,2,1990,20.6,19.8
17,2,1990,20.6,20
18,2,1990,20,19.8
19,2,1990,20.6,20.2
20,2,1990,17.4,18
21,2,1990,18.8,18.6
22,2,1990,20.2,20.6
23,2,1990,19.8,19
24,2,1990,19.8,19.4
25,2,1990,19.4,19.2
26,2,1990,18.8,18.4
27,2,1990,19.6,18.4
28,2,1990,19.8,19
1,3,1990,18.6,17.4
2,3,1990,18.2,18
3,3,1990,18.6,18.4
4,3,1990,19.4,18.8
5,3,1990,19.2,18.8
6,3,1990,16.6,21
7,3,1990,19.6,18
8,3,1990,20.6,20.4
9,3,1990,20.2,19.8
10,3,1990,20,19.4
11,3,1990,20.2,19.4
12,3,1990,20,20.2
13,3,1990,20.6,21
14,3,1990,20.2,20.8
15,3,1990,22,21.4
16,3,1990,20.8,20.4
17,3,1990,20.6,19.4
18,3,1990,21.6,21.6
19,3,1990,19.8,19.4
20,3,1990,21.4,19.8
21,3,1990,20.8,20.4
22,3,1990,20.6,20.2
23,3,1990,19.6,19.2
24,3,1990,20.6,19
25,3,1990,20.4,19
26,3,1990,20.8,19.4
27,3,1990,20.6,20.2
28,3,1990,18.2,18
29,3,1990,21.2,20.2
30,3,1990,20.6,20.4
31,3,1990,19.4,18.2
1,4,1990,19.4,19.2
2,4,1990,19.6,18.6
3,4,1990,19.6,19
4,4,1990,19.4,19
5,4,1990,20.6,21
6,4,1990,21.4,20.4
7,4,1990,21.2,21.6
8,4,1990,20,19.8
9,4,1990,19.6,19.2
10,4,1990,18.4,17.6
11,4,1990,16.2,15.4
12,4,1990,17.8,18
13,4,1990,19.2,18.2
14,4,1990,18,18.4
15,4,1990,20.8,20
16,4,1990,20,19
17,4,1990,19.4,19
18,4,1990,17.2,17
19,4,1990,16.6,16.4
20,4,1990,18.2,16
21,4,1990,19.8,19
22,4,1990,20,18.8
23,4,1990,19.6,18.2
24,4,1990,17.8,18.6
25,4,1990,18.2,19
26,4,1990,16.8,17.4
27,4,1990,17,17.2
28,4,1990,17.2,17.2
29,4,1990,19.6,18.4
30,4,1990,17.8,18.2
1,5,1990,16.6,15
2,5,1990,15.6,14.2
3,5,1990,15.4,14.8
4,5,1990,15.4,15
5,5,1990,16.4,15.6
6,5,1990,17.8,17
7,5,1990,15,14.8
8,5,1990,14.8,15.6
9,5,1990,17,16.8
10,5,1990,14.8,14.8
11,5,1990,17.4,17
12,5,1990,16.2,16.4
13,5,1990,15,14.8
14,5,1990,15.4,15
15,5,1990,16,15.8
16,5,1990,18,17.8
17,5,1990,18.4,18
18,5,1990,13.4,13.2
19,5,1990,4,3
20,5,1990,10.8,8.8
21,5,1990,10,9.4
22,5,1990,7.3,8.2
23,5,1990,7.6,7.2
24,5,1990,7.8,10.2
25,5,1990,11,12
26,5,1990,11.4,11.4
27,5,1990,12.2,13.2
28,5,1990,13.4,14.2
29,5,1990,16,16.8
30,5,1990,14.4,15.4
31,5,1990,14.5,15.2
1,6,1990,15,16.2
2,6,1990,15.2,16
3,6,1990,15.6,15.8
4,6,1990,14.2,14.6
5,6,1990,13.9,14
6,6,1990,16,16
7,6,1990,17.8,17.2
8,6,1990,15.1,14.8
9,6,1990,14.2,15
10,6,1990,13.8,15
11,6,1990,12.5,12
12,6,1990,11.9,12
13,6,1990,11.5,12.2
